https://www.CryptoDataDownload.com
uniq,date,symbol,open,high,low,close,Volume 1INCH,Volume USD
1650772800000,2022-04-24 04:00:00,1INCH/USD,1.4577,1.4612,1.3552,1.3733,37677.674423,51742.750285105896
1650715200000,2022-04-23 12:00:00,1INCH/USD,1.4758,1.4794,1.4336,1.4349,18616.37351,26712.634349499003
1650686400000,2022-04-23 04:00:00,1INCH/USD,1.4549,1.4794,1.4363,1.4577,23178.005713,33786.5789278401
1650628800000,2022-04-22 12:00:00,1INCH/USD,1.5484,1.5653,1.4363,1.4758,49655.361299,73281.38220506419
1650600000000,2022-04-22 04:00:00,1INCH/USD,1.5332,1.6096,1.4512,1.4549,64083.606381,93235.2389237169
1650542400000,2022-04-21 12:00:00,1INCH/USD,1.6087,1.6303,1.4712,1.5484,48859.214562,75653.6078278008
1650513600000,2022-04-21 04:00:00,1INCH/USD,1.5754,1.6361,1.4712,1.5332,38857.911084,59576.949273988794
1650456000000,2022-04-20 12:00:00,1INCH/USD,1.568,1.6361,1.514,1.6087,54659.85167,87931.303381529
1650427200000,2022-04-20 04:00:00,1INCH/USD,1.5297,1.5784,1.5297,1.5754,1575.962587,2482.7714595598
1650369600000,2022-04-19 12:00:00,1INCH/USD,1.4968,1.5684,1.4918,1.568,50019.986668,78431.339095424
1650340800000,2022-04-19 04:00:00,1INCH/USD,1.4808,1.5423,1.4803,1.5297,27778.074023,42492.1198329831
1650283200000,2022-04-18 12:00:00,1INCH/USD,1.4305,1.5078,1.4305,1.4968,27068.940977,40516.7908543736
1650254400000,2022-04-18 04:00:00,1INCH/USD,1.4628,1.505,1.3806,1.4808,30423.873823,45051.672357098396
1650196800000,2022-04-17 12:00:00,1INCH/USD,1.515,1.5241,1.3806,1.4305,42915.981968,61391.31220522401
1650168000000,2022-04-17 04:00:00,1INCH/USD,1.4916,1.5241,1.453,1.4628,34031.304542,49780.9922840376
1650110400000,2022-04-16 12:00:00,1INCH/USD,1.5108,1.5267,1.4832,1.515,47477.278827,71928.077422905
1650081600000,2022-04-16 04:00:00,1INCH/USD,1.5135,1.5267,1.4832,1.4916,49690.697751,74118.6447653916
1650024000000,2022-04-15 12:00:00,1INCH/USD,1.5199,1.5323,1.4906,1.5108,24249.229373,36635.7357367284
